Meta Data,Time Series (5min)
"Intraday (5min) open, high, low, close prices and volume",
IBM,
2023-06-07 19:30:00,
5min,
Compact,
US/Eastern,
,"{'1. open': '134.3800', '2. high': '134.3800', '3. low': '134.3800', '4. close': '134.3800', '5. volume': '200'}"
,"{'1. open': '134.3500', '2. high': '134.3500', '3. low': '134.3500', '4. close': '134.3500', '5. volume': '276'}"
,"{'1. open': '134.2700', '2. high': '134.2700', '3. low': '134.2700', '4. close': '134.2700', '5. volume': '209'}"
,"{'1. open': '134.2700', '2. high': '134.2700', '3. low': '134.2700', '4. close': '134.2700', '5. volume': '250'}"
,"{'1. open': '134.2700', '2. high': '134.3800', '3. low': '134.2700', '4. close': '134.3800', '5. volume': '9253'}"
,"{'1. open': '134.3200', '2. high': '134.3200', '3. low': '134.3200', '4. close': '134.3200', '5. volume': '144'}"
,"{'1. open': '134.3000', '2. high': '134.3000', '3. low': '134.3000', '4. close': '134.3000', '5. volume': '130'}"
,"{'1. open': '134.3800', '2. high': '134.3800', '3. low': '134.3800', '4. close': '134.3800', '5. volume': '6723'}"
,"{'1. open': '134.2100', '2. high': '134.2500', '3. low': '134.2100', '4. close': '134.2500', '5. volume': '417'}"
,"{'1. open': '134.3800', '2. high': '134.3800', '3. low': '134.1800', '4. close': '134.1800', '5. volume': '83036'}"
,"{'1. open': '134.1900', '2. high': '134.4400', '3. low': '134.1550', '4. close': '134.3600', '5. volume': '542406'}"
,"{'1. open': '134.1100', '2. high': '134.2800', '3. low': '134.0900', '4. close': '134.1900', '5. volume': '185973'}"
,"{'1. open': '134.0300', '2. high': '134.1100', '3. low': '133.9400', '4. close': '134.1000', '5. volume': '125261'}"
,"{'1. open': '133.9400', '2. high': '134.0600', '3. low': '133.9300', '4. close': '134.0150', '5. volume': '63908'}"
,"{'1. open': '133.9823', '2. high': '134.0700', '3. low': '133.9000', '4. close': '133.9300', '5. volume': '63262'}"
,"{'1. open': '133.9700', '2. high': '134.0550', '3. low': '133.9100', '4. close': '133.9700', '5. volume': '55023'}"
,"{'1. open': '133.9600', '2. high': '133.9900', '3. low': '133.9100', '4. close': '133.9900', '5. volume': '37043'}"
,"{'1. open': '133.9000', '2. high': '134.0000', '3. low': '133.8800', '4. close': '133.9500', '5. volume': '38409'}"
,"{'1. open': '133.8900', '2. high': '133.9700', '3. low': '133.8750', '4. close': '133.9100', '5. volume': '41201'}"
,"{'1. open': '133.9000', '2. high': '133.9450', '3. low': '133.8600', '4. close': '133.8900', '5. volume': '27944'}"
,"{'1. open': '134.0100', '2. high': '134.0900', '3. low': '133.8600', '4. close': '133.9000', '5. volume': '45605'}"
,"{'1. open': '134.0700', '2. high': '134.1200', '3. low': '133.9900', '4. close': '134.0050', '5. volume': '44885'}"
,"{'1. open': '134.1000', '2. high': '134.1100', '3. low': '133.9750', '4. close': '134.0500', '5. volume': '34996'}"
,"{'1. open': '133.8800', '2. high': '134.1600', '3. low': '133.8400', '4. close': '134.1100', '5. volume': '63824'}"
,"{'1. open': '133.9300', '2. high': '133.9450', '3. low': '133.8400', '4. close': '133.8950', '5. volume': '28700'}"
,"{'1. open': '133.8800', '2. high': '133.9450', '3. low': '133.8300', '4. close': '133.9400', '5. volume': '30699'}"
,"{'1. open': '133.9607', '2. high': '133.9750', '3. low': '133.8400', '4. close': '133.8950', '5. volume': '27614'}"
,"{'1. open': '133.8600', '2. high': '133.9900', '3. low': '133.8600', '4. close': '133.9500', '5. volume': '34169'}"
,"{'1. open': '133.7999', '2. high': '133.8800', '3. low': '133.7800', '4. close': '133.8700', '5. volume': '140579'}"
,"{'1. open': '133.8000', '2. high': '133.9200', '3. low': '133.7300', '4. close': '133.7997', '5. volume': '22282'}"
,"{'1. open': '134.0434', '2. high': '134.0500', '3. low': '133.7300', '4. close': '133.7900', '5. volume': '53622'}"
,"{'1. open': '134.0700', '2. high': '134.1300', '3. low': '133.9800', '4. close': '134.0500', '5. volume': '41253'}"
,"{'1. open': '134.1000', '2. high': '134.1600', '3. low': '133.9950', '4. close': '134.0700', '5. volume': '44276'}"
,"{'1. open': '134.1400', '2. high': '134.1550', '3. low': '134.0300', '4. close': '134.1182', '5. volume': '52868'}"
,"{'1. open': '134.0700', '2. high': '134.2400', '3. low': '134.0600', '4. close': '134.1500', '5. volume': '57906'}"
,"{'1. open': '133.8250', '2. high': '134.0600', '3. low': '133.8250', '4. close': '134.0600', '5. volume': '65014'}"
,"{'1. open': '133.8700', '2. high': '133.9100', '3. low': '133.8100', '4. close': '133.8300', '5. volume': '31586'}"
,"{'1. open': '133.7100', '2. high': '133.8750', '3. low': '133.7000', '4. close': '133.8750', '5. volume': '34717'}"
,"{'1. open': '133.6600', '2. high': '133.7600', '3. low': '133.6000', '4. close': '133.7050', '5. volume': '34978'}"
,"{'1. open': '133.6200', '2. high': '133.7400', '3. low': '133.5800', '4. close': '133.6600', '5. volume': '29330'}"
,"{'1. open': '133.5500', '2. high': '133.7600', '3. low': '133.5300', '4. close': '133.6200', '5. volume': '39513'}"
,"{'1. open': '133.5000', '2. high': '133.6095', '3. low': '133.4900', '4. close': '133.5500', '5. volume': '31671'}"
,"{'1. open': '133.5520', '2. high': '133.6500', '3. low': '133.4900', '4. close': '133.5000', '5. volume': '31683'}"
,"{'1. open': '133.5718', '2. high': '133.6300', '3. low': '133.4700', '4. close': '133.5500', '5. volume': '32051'}"
,"{'1. open': '133.3000', '2. high': '133.5900', '3. low': '133.2800', '4. close': '133.5800', '5. volume': '50436'}"
,"{'1. open': '133.4700', '2. high': '133.5300', '3. low': '133.3000', '4. close': '133.3120', '5. volume': '32827'}"
,"{'1. open': '133.3700', '2. high': '133.4800', '3. low': '133.3200', '4. close': '133.4720', '5. volume': '22916'}"
,"{'1. open': '133.6900', '2. high': '133.6900', '3. low': '133.3700', '4. close': '133.3800', '5. volume': '39806'}"
,"{'1. open': '133.7300', '2. high': '133.8200', '3. low': '133.6800', '4. close': '133.7000', '5. volume': '35406'}"
,"{'1. open': '133.7350', '2. high': '133.8000', '3. low': '133.7000', '4. close': '133.7200', '5. volume': '42203'}"
,"{'1. open': '133.7800', '2. high': '133.7850', '3. low': '133.7200', '4. close': '133.7400', '5. volume': '34595'}"
,"{'1. open': '133.8000', '2. high': '133.8200', '3. low': '133.7400', '4. close': '133.7700', '5. volume': '45154'}"
,"{'1. open': '133.7600', '2. high': '133.8500', '3. low': '133.7300', '4. close': '133.7850', '5. volume': '54275'}"
,"{'1. open': '133.7600', '2. high': '133.8100', '3. low': '133.7400', '4. close': '133.7700', '5. volume': '30652'}"
,"{'1. open': '133.7300', '2. high': '133.8000', '3. low': '133.7100', '4. close': '133.7700', '5. volume': '62753'}"
,"{'1. open': '133.5900', '2. high': '133.7200', '3. low': '133.5850', '4. close': '133.7200', '5. volume': '49197'}"
,"{'1. open': '133.6000', '2. high': '133.6400', '3. low': '133.5500', '4. close': '133.6100', '5. volume': '24430'}"
,"{'1. open': '133.5401', '2. high': '133.6000', '3. low': '133.5000', '4. close': '133.5950', '5. volume': '28750'}"
,"{'1. open': '133.5100', '2. high': '133.5300', '3. low': '133.4300', '4. close': '133.5250', '5. volume': '35465'}"
,"{'1. open': '133.6900', '2. high': '133.7100', '3. low': '133.4700', '4. close': '133.4950', '5. volume': '41946'}"
,"{'1. open': '133.4300', '2. high': '133.7500', '3. low': '133.4100', '4. close': '133.6800', '5. volume': '61337'}"
,"{'1. open': '133.3500', '2. high': '133.4150', '3. low': '133.2800', '4. close': '133.4000', '5. volume': '53337'}"
,"{'1. open': '133.3600', '2. high': '133.4900', '3. low': '133.3450', '4. close': '133.3450', '5. volume': '27730'}"
,"{'1. open': '133.3700', '2. high': '133.4500', '3. low': '133.3400', '4. close': '133.3950', '5. volume': '21923'}"
,"{'1. open': '133.2900', '2. high': '133.4300', '3. low': '133.2900', '4. close': '133.3800', '5. volume': '22082'}"
,"{'1. open': '133.2900', '2. high': '133.3250', '3. low': '133.2128', '4. close': '133.3100', '5. volume': '43188'}"
,"{'1. open': '133.2940', '2. high': '133.3600', '3. low': '133.2350', '4. close': '133.3050', '5. volume': '30533'}"
,"{'1. open': '133.3500', '2. high': '133.4000', '3. low': '133.2150', '4. close': '133.3000', '5. volume': '35872'}"
,"{'1. open': '133.1750', '2. high': '133.3800', '3. low': '133.1600', '4. close': '133.3450', '5. volume': '50716'}"
,"{'1. open': '133.2800', '2. high': '133.3003', '3. low': '133.0650', '4. close': '133.1750', '5. volume': '53644'}"
,"{'1. open': '133.2000', '2. high': '133.4200', '3. low': '133.1700', '4. close': '133.3100', '5. volume': '91422'}"
,"{'1. open': '133.1400', '2. high': '133.2900', '3. low': '132.9750', '4. close': '133.2000', '5. volume': '100959'}"
,"{'1. open': '133.8300', '2. high': '133.9300', '3. low': '133.1500', '4. close': '133.1500', '5. volume': '190696'}"
,"{'1. open': '132.9400', '2. high': '133.9800', '3. low': '132.9300', '4. close': '133.8350', '5. volume': '310555'}"
,"{'1. open': '132.8700', '2. high': '132.9900', '3. low': '132.8400', '4. close': '132.9500', '5. volume': '51469'}"
,"{'1. open': '132.7800', '2. high': '132.9500', '3. low': '132.7700', '4. close': '132.8600', '5. volume': '67757'}"
,"{'1. open': '132.6000', '2. high': '132.8700', '3. low': '132.6000', '4. close': '132.7800', '5. volume': '49303'}"
,"{'1. open': '132.5550', '2. high': '132.6500', '3. low': '132.3400', '4. close': '132.5800', '5. volume': '47415'}"
,"{'1. open': '132.5200', '2. high': '132.6400', '3. low': '132.4800', '4. close': '132.5600', '5. volume': '22445'}"
,"{'1. open': '132.3800', '2. high': '132.5800', '3. low': '132.3800', '4. close': '132.5300', '5. volume': '25891'}"
,"{'1. open': '132.3999', '2. high': '132.4400', '3. low': '132.2550', '4. close': '132.3400', '5. volume': '39401'}"
,"{'1. open': '132.5600', '2. high': '132.5600', '3. low': '132.2300', '4. close': '132.3850', '5. volume': '39710'}"
,"{'1. open': '132.6900', '2. high': '132.7200', '3. low': '132.3605', '4. close': '132.6100', '5. volume': '58035'}"
,"{'1. open': '132.5000', '2. high': '132.6900', '3. low': '132.4200', '4. close': '132.6900', '5. volume': '74646'}"
,"{'1. open': '132.3500', '2. high': '132.5800', '3. low': '132.2200', '4. close': '132.4900', '5. volume': '33359'}"
,"{'1. open': '132.5550', '2. high': '132.7200', '3. low': '132.1900', '4. close': '132.3200', '5. volume': '42255'}"
,"{'1. open': '132.5600', '2. high': '132.6600', '3. low': '132.3100', '4. close': '132.5700', '5. volume': '31891'}"
,"{'1. open': '132.5000', '2. high': '132.7650', '3. low': '132.3400', '4. close': '132.5800', '5. volume': '99208'}"
,"{'1. open': '132.8500', '2. high': '132.8500', '3. low': '132.8500', '4. close': '132.8500', '5. volume': '225'}"
,"{'1. open': '132.4823', '2. high': '132.4823', '3. low': '132.4823', '4. close': '132.4823', '5. volume': '600'}"
,"{'1. open': '132.8400', '2. high': '132.8400', '3. low': '132.8400', '4. close': '132.8400', '5. volume': '200'}"
,"{'1. open': '132.6000', '2. high': '132.6000', '3. low': '132.6000', '4. close': '132.6000', '5. volume': '112'}"
,"{'1. open': '132.7000', '2. high': '132.7000', '3. low': '132.7000', '4. close': '132.7000', '5. volume': '105'}"
,"{'1. open': '132.8500', '2. high': '132.9200', '3. low': '132.8500', '4. close': '132.9200', '5. volume': '753'}"
,"{'1. open': '132.7500', '2. high': '132.7500', '3. low': '132.7500', '4. close': '132.7500', '5. volume': '280'}"
,"{'1. open': '132.7500', '2. high': '132.7500', '3. low': '132.7500', '4. close': '132.7500', '5. volume': '227'}"
,"{'1. open': '132.6000', '2. high': '132.6000', '3. low': '132.6000', '4. close': '132.6000', '5. volume': '100'}"
,"{'1. open': '132.6700', '2. high': '132.6700', '3. low': '132.6700', '4. close': '132.6700', '5. volume': '157'}"
,"{'1. open': '132.6900', '2. high': '132.6900', '3. low': '132.6900', '4. close': '132.6900', '5. volume': '300'}"
,"{'1. open': '132.6900', '2. high': '132.6900', '3. low': '132.6900', '4. close': '132.6900', '5. volume': '143'}"
